Model,Alpha,Split,R2_Score,MAE_Log,RMSE_Log,MAE_Raw,RMSE_Raw,Training_Time_s
Ridge_Train,0.001,Train,0.1055166807735447,0.6430429243635155,0.8638959096191168,2289.345855787432,10534.855877476812,
Ridge_Val,0.001,Validation,0.13138971922803155,0.6420261222084516,0.8697119146631033,2525.7533784793977,16585.70603262452,0.023823022842407227
Ridge_Train,0.01,Train,0.10551668077348964,0.6430429257443275,0.8638959096191433,2289.345845768398,10534.855909544189,
Ridge_Val,0.01,Validation,0.13138971338970495,0.6420261297000163,0.8697119175859689,2525.753384444981,16585.70607543754,0.0074727535247802734
Ridge_Train,0.1,Train,0.10551668076799459,0.6430429395523404,0.8638959096217969,2289.3457455808284,10534.856230211819,
Ridge_Val,0.1,Validation,0.13138965500041422,0.6420262046149195,0.8697119468176404,2525.753444100761,16585.70650355808,0.004883766174316406
Ridge_Train,1.0,Train,0.10551668021881067,0.6430430776217193,0.863895909886999,2289.344743982053,10534.859436274764,
Ridge_Val,1.0,Validation,0.1313890705054046,0.642026953689578,0.8697122394357344,2525.7540406534677,16585.710783792845,0.007433652877807617
Ridge_Train,10.0,Train,0.1055166256221054,0.6430444572440822,0.8638959362518672,2289.3347555565683,10534.891435805624,
Ridge_Val,10.0,Validation,0.1313831657169906,0.6420344559065992,0.8697151955682517,2525.7600283328643,16585.75348945913,0.007193565368652344
Ridge_Train,100.0,Train,0.10551146875800999,0.643059799012642,0.8638984265091725,2289.2412024198798,10535.205548677191,
Ridge_Val,100.0,Validation,0.13131848523287215,0.6421091985995867,0.8697475761015891,2525.820387140891,16586.171241666612,0.006596088409423828
Ridge_Train,1000.0,Train,0.10518025355510552,0.6433160882496207,0.8640583557869549,2288.719590752397,10537.916778659897,
Ridge_Val,1000.0,Validation,0.13032783770312006,0.6428691876852871,0.8702433664265667,2526.555218693483,16589.671518339226,0.00721287727355957
Ridge_Train,10000.0,Train,0.09707053237870034,0.6474935186818919,0.8679649901929521,2291.488311848286,10553.021834326115,
Ridge_Val,10000.0,Validation,0.11636773023301505,0.6506977298938809,0.8772001978102512,2536.9942335475926,16606.72640598952,0.007318019866943359
Lasso_Train,0.001,Train,0.10547194704098029,0.6430872952873468,0.8639175113665146,2289.050277541686,10535.809452629954,
Lasso_Val,0.001,Validation,0.1310201668616816,0.6422814543628731,0.8698969055185832,2525.970831544824,16586.776852113057,0.15210676193237305
Lasso_Train,0.01,Train,0.10231981650202371,0.6444748837767075,0.8654383054873519,2288.6912243208494,10543.626048800314,
Lasso_Val,0.01,Validation,0.12448777808889633,0.6459053473854057,0.8731604251255533,2530.4387613837243,16595.137566121088,0.0963752269744873
Lasso_Train,0.1,Train,0.0284345241965136,0.6777858855527991,0.9003499227671004,2338.0710083861554,10588.846667110665,
Lasso_Val,0.1,Validation,0.02919749903096125,0.6908644355524841,0.9194505572304746,2602.4553270477804,16643.203977865014,0.08035922050476074
Lasso_Train,1.0,Train,0.0,0.6889039181171389,0.9134300495257415,2356.428904666961,10601.3257638791,
Lasso_Val,1.0,Validation,-0.00020157654998120833,0.7024412879607151,0.9332687081424221,2621.743282462944,16651.408635129585,0.05418038368225098
Lasso_Train,10.0,Train,0.0,0.6889039181171389,0.9134300495257415,2356.428904666961,10601.3257638791,
Lasso_Val,10.0,Validation,-0.00020157654998120833,0.7024412879607151,0.9332687081424221,2621.743282462944,16651.408635129585,0.035218000411987305
Lasso_Train,100.0,Train,0.0,0.6889039181171389,0.9134300495257415,2356.428904666961,10601.3257638791,
Lasso_Val,100.0,Validation,-0.00020157654998120833,0.7024412879607151,0.9332687081424221,2621.743282462944,16651.408635129585,0.03240060806274414
Lasso_Train,1000.0,Train,0.0,0.6889039181171389,0.9134300495257415,2356.428904666961,10601.3257638791,
Lasso_Val,1000.0,Validation,-0.00020157654998120833,0.7024412879607151,0.9332687081424221,2621.743282462944,16651.408635129585,0.0382537841796875
Lasso_Train,10000.0,Train,0.0,0.6889039181171389,0.9134300495257415,2356.428904666961,10601.3257638791,
Lasso_Val,10000.0,Validation,-0.00020157654998120833,0.7024412879607151,0.9332687081424221,2621.743282462944,16651.408635129585,0.03055405616760254
